WZ_CD,Emp_2011,Empl_SIC_A,Empl_SIC_B,Empl_SIC_C,Empl_SIC_D,Empl_SIC_E,Empl_SIC_F,Empl_SIC_G,Empl_SIC_H,Empl_SIC_I,Empl_SIC_J,Empl_SIC_K,Empl_SIC_L,Empl_SIC_M,Empl_SIC_N,Empl_SIC_O,Empl_SIC_P,Empl_SIC_Q,Empl_SIC_RS,Empl_SIC_T,Empl_SIC_U
E33032294,362,0,0,8,1,1,56,24,7,21,23,17,7,42,42,3,16,73,16,5,0
E33032295,232,2,0,4,1,0,12,32,5,14,4,5,5,18,11,1,19,74,21,4,0
E33032296,751,2,0,10,0,1,53,52,16,66,17,16,10,24,25,8,358,47,34,11,1
E33032297,329,0,0,10,1,2,18,51,17,16,15,10,24,51,10,7,27,30,35,5,0
E33032298,371,0,0,0,1,1,22,19,12,11,2,6,3,5,7,5,181,70,24,2,0
E33032299,311,0,0,15,0,0,42,21,17,8,21,11,18,52,29,9,18,18,29,2,1
E33032300,277,0,0,9,2,1,30,96,3,11,10,6,9,28,9,7,14,21,18,3,0
E33032301,265,1,0,7,1,0,17,19,6,5,19,11,6,32,12,5,72,32,17,3,0
E33032302,429,0,0,5,0,0,38,39,11,32,18,10,24,59,10,7,54,94,26,2,0
E33032303,341,0,0,11,4,0,98,28,14,8,15,8,10,37,23,5,32,18,28,2,0
E33032304,697,0,0,28,1,0,108,60,28,52,33,26,15,60,39,13,89,82,61,2,0
E33032305,394,2,1,3,0,1,28,12,16,7,23,10,8,33,17,1,199,18,15,0,0
E33032306,473,2,0,13,0,1,51,35,17,13,15,13,6,33,33,14,61,136,29,1,0
E33032307,434,0,0,32,2,3,78,117,32,10,13,7,4,18,23,38,8,13,34,2,0
E33032308,528,1,1,29,3,22,133,65,34,16,9,5,2,29,24,41,40,40,29,5,0
E33032309,413,0,0,13,2,5,66,31,20,20,28,13,9,26,25,7,83,27,38,0,0
E33032310,494,1,0,9,1,3,48,111,19,37,20,7,10,37,44,6,29,63,45,4,0
E33032311,357,0,0,7,0,0,53,52,19,16,4,4,4,18,21,5,71,52,31,0,0
E33032312,666,1,0,24,2,0,57,65,6,17,31,31,10,92,48,100,40,116,25,1,0
E33032313,523,0,0,31,0,1,81,59,26,22,34,15,18,64,35,2,33,50,49,3,0
E33032314,262,1,0,5,2,0,24,18,13,4,9,9,1,30,15,7,20,91,13,0,0
E33032315,319,0,0,3,1,0,34,34,8,8,19,12,22,48,14,4,63,25,22,2,0
E33032316,325,0,0,27,0,2,31,46,9,7,23,9,5,30,13,7,47,31,37,1,0
E33032317,283,0,1,5,1,0,24,11,74,6,15,4,7,12,14,4,33,31,40,1,0
E33032318,396,0,0,6,1,0,10,12,5,13,15,5,2,23,7,3,210,68,16,0,0
E33032319,688,0,0,22,0,2,31,127,17,27,60,107,41,67,48,5,27,49,55,3,0
E33032320,432,0,0,14,2,1,88,57,29,20,22,15,7,35,32,8,29,36,33,4,0
E33032321,317,0,0,14,0,4,30,48,23,107,11,9,4,14,8,1,8,14,17,4,1
E33032322,329,0,1,7,1,1,35,29,11,8,18,14,14,30,17,2,34,79,27,1,0
E33032323,315,0,1,5,1,5,47,35,40,44,12,3,3,16,24,12,8,44,15,0,0
E33032324,633,0,0,8,1,0,68,74,39,33,15,16,19,32,47,9,149,68,46,9,0
E33032325,465,0,0,3,2,0,30,19,8,19,3,3,4,15,22,4,267,29,37,0,0
E33032326,409,0,1,12,1,2,44,71,24,11,21,11,18,67,26,2,31,44,20,3,0
E33032327,575,1,0,14,0,0,25,85,33,6,35,22,19,79,29,0,125,68,32,1,1
E33032328,561,2,0,13,0,2,51,44,16,62,18,12,7,35,22,6,203,28,37,3,0
E33032329,337,0,0,4,0,3,31,43,8,16,7,4,7,12,13,8,30,129,19,3,0
E33032330,437,0,0,6,0,0,18,207,11,47,16,7,4,17,12,11,36,17,25,1,2
E33032331,290,0,0,9,0,0,46,23,14,2,17,7,10,29,12,5,64,27,24,1,0
E33032332,313,0,0,10,1,2,57,62,6,33,11,7,25,19,11,0,18,19,31,1,0
E33032333,323,0,0,17,2,0,25,24,9,18,20,22,12,35,9,6,24,27,72,1,0
E33032334,442,0,0,5,0,5,65,24,23,15,24,20,5,36,21,3,119,55,20,2,0
E33032335,293,0,0,6,0,0,34,13,4,7,6,4,5,22,6,8,133,26,17,2,0
E33032336,364,0,0,17,1,0,41,29,7,8,13,3,4,29,27,2,113,39,28,2,1
E33032337,432,0,1,4,2,1,37,30,9,13,24,14,5,34,15,6,178,35,20,4,0
E33032338,279,0,0,13,0,0,21,92,8,8,24,7,2,14,15,5,22,23,23,2,0
E33032339,426,0,0,1,0,1,71,58,39,11,12,26,2,21,12,41,10,92,28,1,0
E33032340,401,0,0,16,0,1,38,58,13,7,25,28,14,51,36,4,32,36,33,9,0
E33032341,456,0,0,19,0,1,61,47,10,18,18,22,25,53,25,1,53,67,28,7,1
E33032342,726,2,1,6,1,1,29,52,8,46,14,37,19,35,19,5,350,55,33,13,0
E33032343,835,0,0,48,1,77,71,46,77,19,9,10,4,35,89,145,125,27,52,0,0
E33032344,658,1,0,4,1,13,55,43,15,17,19,6,15,32,28,19,284,76,26,4,0
E33032345,390,0,0,5,1,1,38,160,19,11,7,2,7,10,16,5,14,32,61,1,0
E33032346,705,0,0,16,0,0,78,49,315,26,14,8,1,19,28,6,80,47,15,3,0
E33032347,524,0,1,15,3,0,91,59,30,12,26,19,11,54,41,5,40,86,22,8,1
E33032348,293,1,1,8,0,0,47,53,9,1,21,12,5,43,17,2,23,27,19,4,0
E33032349,294,0,0,8,0,1,17,26,4,5,15,8,5,25,9,3,118,28,22,0,0
E33032350,347,0,0,10,0,0,21,109,8,5,18,6,5,25,24,1,49,11,53,0,2
E33032351,544,1,1,17,1,0,34,153,5,51,19,16,8,91,29,4,17,53,39,5,0
E33032352,350,0,0,6,0,1,51,20,7,8,21,14,4,28,38,7,30,51,60,3,1
E33032353,377,0,0,3,0,0,12,47,5,9,11,19,2,19,82,2,12,142,11,0,1
E33032354,403,0,0,8,0,0,47,45,8,11,13,15,6,25,21,9,124,45,24,2,0
E33032355,377,0,0,12,0,1,33,29,13,63,24,9,2,44,29,5,63,25,25,0,0
E33032356,395,0,0,13,0,0,50,61,6,21,17,9,25,60,23,18,12,55,21,3,1
